tag,stemtag,spcode,quadrat,SUBQUADRAT,lx,ly,dbh,codes,hom,date
30,33725,INGVER,101,32,11.73,5.74,12.4,SPROUT;A;,1.3,1994-11-16
31,31,DACEXC,101,32,13.3,5.83,168,MAIN;A;,1.3,1994-11-16
36,36,DACEXC,101,33,14.31,13.91,155,MAIN;A;,1.3,1994-11-16
39,39,CASARB,101,43,16.51,12.64,207,MAIN;A;,1.3,1994-11-16
