tag	stemtag	spcode	quadrat	SUBQUADRAT	lx	ly	dbh	codes	hom	date
10	10	DACEXC	101	11	0.6	2.23	507	MAIN;A;		1994-11-16
12	12	GUEVAL	101	11	3.05	3.51	126	MAIN;A;		1994-11-16
19	19	INGVER	101	24	5.9	18.97	210	MAIN;A;		1994-11-16
22	22	CROPOE	101	22	6.16	9.48	214	MAIN;A;		1994-11-16
23	23	PREMON	101	22	5.94	5.12	142	MAIN;A;		1994-11-16
29	29	DACEXC	101	32	14.46	6.96	254	MAIN;A;		1994-11-16
30	30	INGVER	101	32	11.73	5.74	147	MAIN;A;		1994-11-16
30	33725	INGVER	101	32	11.73	5.74	12.4	SPROUT;A;		1994-11-16
31	31	DACEXC	101	32	13.3	5.83	168	MAIN;A;		1994-11-16
36	36	DACEXC	101	33	14.31	13.91	155	MAIN;A;		1994-11-16
39	39	CASARB	101	43	16.51	12.64	207	MAIN;A;		1994-11-16
