tag	stemtag	spcode	quadrat	SUBQUADRAT	lx	ly	dbh	codes	hom	date
-114036	-114036	PSYBER	1223	44			NA	MAIN;DEADT;		1996-08-02
-110496	-110496	CECSCH	622	24			NA	MAIN;DEADT;		1996-07-03
-98840	-98840	PALRIP	1121	31			11.5	MAIN;A;	1.3	1996-06-19
-82993	-82993	PALRIP	1516	44			NA	MAIN;DEADT;		1996-02-09
-75528	-75528	PALRIP	516	31			NA	MAIN;DEADT;		1996-03-04
-72745	-72745	PALRIP	116	34			NA	MAIN;DEADT;		1996-03-08
-68445	-68445	PSYBER	1214	32			NA	MAIN;DEADT;		1996-01-25
-54916	-54916	CECSCH	211	14			NA	MAIN;DEADT;		1995-09-20
-54654	-54654	COMGLA	711	22			16	MAIN;A;	1.3	1995-09-29
-50837	-50837	OCOLEU	503	23			NA	MAIN;A;NR;	1.3	1995-02-09
-49591	-49591	CASARB	1011	22			31.8	MAIN;A;	1.3	1995-10-02
-49044	-49044	CASARB	714	23			36.9	MAIN;A;	1.3	1996-01-15
-47238	-47238	PSYBER	509	32	11.26	7.3	NA	MAIN;A;LS;DP;		1995-07-13
-45182	-45182	PALRIP	1509	41			NA	MAIN;DEADT;		1995-09-13
-37802	-37802	SCHMOR	1615	12			11.3	MAIN;A;	1.3	1996-02-02
-36932	-36932	CORSUL	1615	33			14.1	MAIN;A;	1.3	1996-02-02
-31120	-31120	TABHET	1607	33			NA	MAIN;DEADT;		1995-06-21
-29149	-29149	PSYBER	205	22			NA	MAIN;DEADT;		1995-04-12
-29001	-29001	PSYBER	607	44			NA	MAIN;DEADT;		1995-05-11
-28096	-28096	PSYBER	506	12			NA	MAIN;DEADT;		1995-06-16
-17557	-17557	PREMON	622	42	15.8	9.19	205	MAIN;A;	1.3	1996-07-04
-15558	-15558	UNIDEN	303	42			NA	MAIN;DEADT;		1995-02-03
-12584	-12584	CECSCH	801	31			NA	MAIN;DEADT;		1995-02-13
-11756	-11756	CECSCH	901	33			NA	MAIN;DEADT;		1995-02-23
-11392	-11392	PSYBER	503	11			NA	MAIN;DEADT;		1995-02-09
-9391	-9391	CECSCH	504	31			NA	MAIN;DEADT;		1995-04-03
-9187	-9187	CASARB	303	12			NA	MAIN;DEADT;		1995-02-03
-8966	-8966	PSYBER	1002	43			NA	MAIN;DEADT;		1995-02-23
-8494	-8494	PIPGLA	403	44			15	MAIN;A;		1995-02-08
-8480	-8480	OCOLEU	803	42			NA	MAIN;DEADT;		1995-02-17
-8347	-8347	CECSCH	403	43			NA	MAIN;DEADT;		1995-02-08
-8298	-8298	CECSCH	403	44			NA	MAIN;DEADT;		1995-02-08
-8290	-8290	PIPAMA	403	41			NA	MAIN;DEADT;		1995-02-08
-8289	-8289	UREBAC	403	43			NA	MAIN;DEADT;		1995-02-08
-7434	-7434	PSYBER	701	43			NA	MAIN;DEADT;		1995-02-09
-7178	-7178	PSYBER	801	13			NA	MAIN;DEADT;		1995-02-13
