tag	stemtag	spcode	quadrat	SUBQUADRAT	lx	ly	dbh	codes	hom	date
-6477	-6477	PSYBRA	1001	31			12.9	MAIN;A;		1995-03-02
-6476	-6476	PIPGLA	1001	31			13	MAIN;A;		1995-03-02
-6249	-6249	PSYBER	801	32			NA	MAIN;DEADT;		1995-02-13
-3292	-3292	CECSCH	1303	34			NA	MAIN;DEADT;		1995-03-08
-3136	-3136	RONPOR	1001	31			13	MAIN;A;		1995-03-01
-3135	-3135	SCHMOR	1001	31			19	MAIN;A;		1995-03-01
-3088	-3088	MICRAC	1403	13			NA	MAIN;DEADT;		1995-03-13
-3061	-3061	HIRRUG	1503	24			NA	MAIN;DEADT;		1995-03-20
-1694	-1694	SCHMOR	401	44			NA	MAIN;DEADT;		1995-01-26
-788	-788	MANBID	201	41			NA	MAIN;DEADT;		1994-12-01
-455	-455	PREMON	1611	24	5.93	16.96	NA	MAIN;DEADT;		1995-10-23
-4	-4	CASARB	1002	13			14.9	MAIN;A;		1995-02-22
2	2	PALRIP	1503	41			8.7	MAIN;A;		1995-03-21
3	3	PSYBER	1001	12			NA	MAIN;DEADT;		1995-03-01
4	4	PSYBER	1001	44			NA	MAIN;DEADT;		1995-03-01
5	5	MIRGAR	1503	41	15.79	0.86	15.5	MAIN;A;		1995-03-21
6	6	PSYBER	1001	12			NA	MAIN;DEADT;		1995-03-01
7	7	ARDGLA	1001	12	0.85	8.01	36.9	MAIN;A;		1995-03-01
8	8	PALRIP	1403	43	19.94	11	27.3	MAIN;A;		1995-03-17
9	9	PSYBER	1001	12			NA	MAIN;DEADT;		1995-03-01
10	10	DACEXC	101	11	0.6	2.23	507	MAIN;A;		1994-11-16
11	11	PREMON	101	11	1.6	2.9	156	MAIN;A;		1994-11-16
12	12	GUEVAL	101	11	3.05	3.51	126	MAIN;A;		1994-11-16
13	13	TERLUQ	101	12	0.53	5.79	NA	MAIN;DEADT;		1994-11-16
14	14	PREMON	101	12	1.68	8.91	163	MAIN;A;		1994-11-16
15	15	PREMON	101	12	3.77	8.91	109	MAIN;A;		1994-11-16
16	16	PREMON	101	13	4.57	11.4	141	MAIN;A;		1994-11-16
17	17	SAPLAU	101	13	2.72	14.52	187	MAIN;A;		1994-11-16
18	18	PREMON	101	14	1.97	15.44	178	MAIN;A;		1994-11-16
19	19	INGVER	101	24	5.9	18.97	210	MAIN;A;		1994-11-16
20	20	INGLAU	101	23	9.26	14.61	501	MAIN;A;		1994-11-16
21	21	MANBID	101	22	9.53	9.66	144	MAIN;A;		1994-11-16
22	22	CROPOE	101	22	6.16	9.48	214	MAIN;A;		1994-11-16
23	23	PREMON	101	22	5.94	5.12	142	MAIN;A;		1994-11-16
24	24	PREMON	101	21	6.52	3.03	174	MAIN;A;		1994-11-16
25	25	PREMON	101	21	9.78	2.66	179	MAIN;A;		1994-11-16
26	26	MANBID	101	31	11.53	1.14	182	MAIN;A;		1994-11-16
28	28	INGLAU	101	32	14.52	6.33	NA	MAIN;DEADT;		1994-11-16
29	29	DACEXC	101	32	14.46	6.96	254	MAIN;A;		1994-11-16
30	30	INGVER	101	32	11.73	5.74	147	MAIN;A;		1994-11-16
30	33725	INGVER	101	32	11.73	5.74	12.4	SPROUT;A;		1994-11-16
31	31	DACEXC	101	32	13.3	5.83	168	MAIN;A;		1994-11-16
32	32	PREMON	101	32	13.28	6.14	139	MAIN;A;	1.3	1994-11-16
33	33	MANBID	101	32	14.31	9.23	333	MAIN;A;		1994-11-16
34	34	GUAGLA	101	33	13.01	11.16	110	MAIN;A;		1994-11-16
35	35	MANBID	101	33	12.98	14.03	520	MAIN;A;		1994-11-16
36	36	DACEXC	101	33	14.31	13.91	155	MAIN;A;		1994-11-16
37	37	INGLAU	101	34	12.86	17.59	232	MAIN;A;		1994-11-16
38	38	PREMON	101	43	18.66	14.45	160	MAIN;A;	1.3	1994-11-16
39	39	CASARB	101	43	16.51	12.64	207	MAIN;A;		1994-11-16
40	40	TRIPAL	101	42	18.08	9.94	101	MAIN;A;		1994-11-16
41	41	PREMON	101	42	18.75	8.89	156	MAIN;A;	1.3	1994-11-16
42	42	SAPLAU	101	42	17.68	7.78	NA	MAIN;DEADT;		1994-11-16
43	43	MANBID	101	41	15.11	4.01	323	MAIN;A;		1994-11-16
44	44	PREMON	101	41	19.67	1.95	155	MAIN;A;	1.3	1994-11-16
45	45	CROPOE	201	11	0.31	1.98	228	MAIN;A;		1994-11-30
46	46	TABHET	201	11	3.05	1.75	113	MAIN;A;		1994-11-30
47	47	TETBAL	201	12	4.79	6.25	126	MAIN;A;		1994-11-30
48	48	INGLAU	201	12	4.07	5.99	176	MAIN;A;	1.3	1994-11-30
49	49	PREMON	201	12	2.8	6.42	136	MAIN;A;	1.3	1994-11-30
50	50	GUAGUI	201	13	3.94	10.98	415	MAIN;A;		1994-11-30
53	53	ALCLAT	201	14	0.55	17.76	319	MAIN;A;	1.3	1994-11-30
54	54	CROPOE	201	14	1.52	19.14	153	MAIN;A;		1994-11-30
55	55	PREMON	201	23	5.72	14.4	166	MAIN;A;		1994-11-30
56	56	DRYGLA	201	23	7.7	11.01	195	MAIN;A;		1994-11-30
56	501	DRYGLA	201	23	7.33	11	108	SPROUT;A;		1994-11-30
56	786	DRYGLA	201	23	7.7	11.01	NA	SPROUT;LS;		1994-11-30
56	798	DRYGLA	201	23	7.7	11.01	14.5	SPROUT;A;		1994-11-30
57	57	CASARB	201	22	8.88	6.49	226	MAIN;A;		1994-11-30
58	58	DACEXC	201	22	9.37	6.47	NA	MAIN;DEADT;		1994-11-30
59	59	SLOBER	201	21	9.45	2.28	NA	MAIN;DEADT;		1994-11-30
60	60	PREMON	201	11	4.72	0.68	147	MAIN;A;		1994-11-30
61	61	SLOBER	201	31	10.67	0.07	100	MAIN;A;		1994-12-01
62	62	LAEPRO	201	31	10.71	1.94	183	MAIN;A;		1994-12-01
64	64	ALCFLO	201	32	14.84	5.1	NA	MAIN;DEADT;		1994-12-01
65	65	ALCFLO	201	33	12.25	11.93	442	MAIN;A;	3.1	1994-12-01
66	66	GUAGUI	201	33	12.31	13.52	137	MAIN;A;		1994-12-01
67	67	PREMON	201	33	12.79	14.8	111	MAIN;A;		1994-12-01
68	68	SLOBER	201	34	14.25	17.01	115	MAIN;A;		1994-12-01
69	69	PREMON	201	44	18.21	18.32	164	MAIN;A;		1994-12-01
70	70	GUAGLA	201	43	17.25	13.07	105	MAIN;A;		1994-12-01
71	71	SLOBER	201	43	16.24	12.14	136	MAIN;A;		1994-12-01
72	72	MANBID	201	42	16.84	7.26	339	MAIN;A;		1994-12-01
73	73	SAPLAU	201	42	19.92	9.18	239	MAIN;A;		1994-12-01
74	74	BUCTET	201	41	19.67	4.46	355	MAIN;A;		1994-12-01
75	75	TETBAL	201	41	18.81	3.6	160	MAIN;A;		1994-12-01
76	76	OCOLEU	201	41	17.59	1.8	226	MAIN;A;		1994-12-01
76	908	OCOLEU	201	41	17.59	1.8	30.2	SPROUT;A;		1994-12-01
76	913	OCOLEU	201	41	17.59	1.8	16	SPROUT;A;		1994-12-01
76	942	OCOLEU	201	41	17.59	1.8	20.3	SPROUT;A;		1994-12-01
76	33758	OCOLEU	201	41	17.59	1.8	10.6	SPROUT;A;		1994-12-01
76	33759	OCOLEU	201	41	17.59	1.8	11.3	SPROUT;A;		1994-12-01
76	33760	OCOLEU	201	41	17.59	1.8	11.5	SPROUT;A;		1994-12-01
76	33761	OCOLEU	201	41	17.59	1.8	12	SPROUT;A;		1994-12-01
76	33762	OCOLEU	201	41	17.59	1.8	11	SPROUT;A;		1994-12-01
76	33763	OCOLEU	201	41	17.59	1.8	17.5	SPROUT;A;		1994-12-01
77	77	TETBAL	201	41	16.12	2.06	NA	MAIN;DEADT;		1994-12-01
78	78	MANBID	201	41	17.46	0.6	105	MAIN;A;		1994-12-01
79	79	SLOBER	301	11	2.77	2.25	264	MAIN;A;		1994-12-07
80	80	BUCTET	301	11	3.89	4.2	486	MAIN;A;		1994-12-07
81	81	PREMON	301	12	1.25	9.48	189	MAIN;A;		1994-12-07
82	82	PREMON	301	14	4.5	18.59	130	MAIN;A;		1994-12-07
83	83	PREMON	301	24	7.04	19.08	167	MAIN;A;		1994-12-07
84	84	INGVER	301	23	6.93	14.43	333	MAIN;A;		1994-12-07
85	85	PREMON	301	23	6.35	11.35	133	MAIN;A;		1994-12-07
86	86	DACEXC	301	23	6.61	10.14	207	MAIN;A;		1994-12-07
87	87	PREMON	301	22	6.57	9.25	167	MAIN;A;		1994-12-07
88	88	PREMON	301	22	9.88	9.64	161	MAIN;A;		1994-12-07
89	89	DACEXC	301	22	5.86	5.33	242	MAIN;A;		1994-12-07
90	90	SLOBER	301	22	8.88	5.97	100	MAIN;A;		1994-12-07
91	91	DACEXC	301	21	5.8	2.84	527	MAIN;A;		1994-12-07
92	92	MANBID	301	21	8.4	3.06	120	MAIN;A;		1994-12-07
93	93	TETBAL	301	31	10.04	0.12	290	MAIN;A;		1994-12-12
94	94	MANBID	301	31	11.2	3.48	214	MAIN;A;		1994-12-12
95	95	DRYGLA	301	31	12.73	3.32	150	MAIN;A;		1994-12-12
95	33773	DRYGLA	301	31	12.73	3.32	13.3	SPROUT;A;		1994-12-12
96	96	EUGSTA	301	33	14.39	12.25	258	MAIN;A;		1994-12-12
97	97	PREMON	301	44	15.37	17.37	190	MAIN;A;		1994-12-12
98	98	SLOBER	301	42	19.42	7.84	100	MAIN;A;		1994-12-12
100	100	MANBID	301	42	17.27	8.51	256	MAIN;A;		1994-12-12
101	101	ALCFLO	301	41	15.13	2.1	316	MAIN;A;	1.75	1994-12-12
102	102	DACEXC	301	41	16.39	0.24	518	MAIN;A;		1994-12-12
103	103	SLOBER	301	41	19.77	0.26	166	MAIN;A;		1994-12-12
104	104	INGLAU	301	41	18.96	4.33	258	MAIN;A;		1994-12-12
105	105	PREMON	401	11	2.48	1.18	163	MAIN;A;		1995-01-23
107	107	SLOBER	401	13	4.88	11.62	128	MAIN;A;		1995-01-23
108	108	TRIPAL	401	13	1.83	14.43	129	MAIN;A;		1995-01-23
110	110	CORSUL	401	14	4.59	16.47	137	MAIN;A;		1995-01-23
111	111	GUEVAL	401	24	9.4	19.8	100	MAIN;A;		1995-01-23
111	1872	GUEVAL	401	34	9.4	19.8	12.3	SPROUT;A;		1995-01-26
111	1877	GUEVAL	401	34	9.4	19.8	NA	SPROUT;LS;		1995-01-26
111	1883	GUEVAL	401	34	9.4	19.8	NA	SPROUT;LS;		1995-01-26
111	1884	GUEVAL	401	34	9.4	19.8	NA	SPROUT;LS;		1995-01-26
112	112	TETBAL	401	24	9.04	16.66	148	MAIN;A;		1995-01-23
113	113	SLOBER	401	24	9.79	15.17	120	MAIN;A;		1995-01-23
114	114	MANBID	401	23	9.72	11.5	175	MAIN;A;	1.3	1995-01-23
114	1898	MANBID	401	33	9.72	11.5	32.2	SPROUT;A;		1995-01-26
114	1899	MANBID	401	33	9.72	11.5	16	SPROUT;A;		1995-01-26
114	33989	MANBID	401	33	9.72	11.5	19	SPROUT;A;		1995-01-26
115	115	CHIDOM	401	23	6.38	13.02	NA	MAIN;DEADT;		1995-01-23
116	116	SLOBER	401	23	9.49	10.51	228	MAIN;A;		1995-01-23
116	1763	SLOBER	401	22	9.49	10.51	22	SPROUT;A;		1995-01-23
116	1764	SLOBER	401	23	9.49	10.51	19	SPROUT;A;		1995-01-23
117	117	SLOBER	401	22	6.57	9.39	127	MAIN;A;		1995-01-23
117	1663	SLOBER	401	22	6.57	9.39	26.6	SPROUT;A;		1995-01-23
117	1664	SLOBER	401	22	6.57	9.39	25.8	SPROUT;A;		1995-01-23
118	118	SLOBER	401	22	7.5	9.14	104	MAIN;A;		1995-01-23
119	119	TETBAL	401	21	8.84	4.22	289	MAIN;A;		1995-01-23
120	120	INGLAU	401	21	5.36	2.32	114	MAIN;A;		1995-01-23
121	121	DACEXC	401	31	11.54	1.28	374	MAIN;A;		1995-01-26
122	122	MANBID	401	31	11.27	1.54	146	MAIN;A;		1995-01-26
123	123	MAYELO	401	32	11.02	5.65	169	MAIN;A;		1995-01-26
124	124	ALCLAT	401	32	12.56	9.13	229	MAIN;A;		1995-01-26
125	125	MANBID	401	32	11.37	7.5	215	MAIN;A;		1995-01-26
127	127	SAPLAU	401	33	14.55	14.03	265	MAIN;A;		1995-01-26
128	128	ALCFLO	401	33	10.66	14.3	330	MAIN;A;		1995-01-26
129	129	ALCLAT	401	34	14	16.42	365	MAIN;A;		1995-01-26
129	1876	ALCLAT	401	34	14	16.42	49.5	SPROUT;A;		1995-01-26
129	33991	ALCLAT	401	34	14	16.42	17.8	SPROUT;A;		1995-01-26
129	33992	ALCLAT	401	34	14	16.42	19.9	SPROUT;A;		1995-01-26
130	130	CASSYL	401	34	14.77	19.92	169	MAIN;A;		1995-01-26
131	131	CASSYL	401	44	15.8	16.99	257	MAIN;A;		1995-01-26
132	132	MANBID	401	44	17.52	16.98	228	MAIN;A;		1995-01-26
133	133	SLOBER	401	43	16.69	12.4	200	MAIN;A;		1995-01-26
135	135	SAPLAU	401	42	19.87	7.3	259	MAIN;A;		1995-01-26
136	136	ALCFLO	401	41	17.55	7.37	334	MAIN;A;		1995-01-26
137	137	PREMON	401	41	19.74	4.24	160	MAIN;A;		1995-01-26
138	138	TETBAL	401	41	16.62	0.23	167	MAIN;A;		1995-01-26
139	139	DACEXC	501	11	0.78	3.42	NA	MAIN;DEADT;		1995-01-27
140	140	SCHMOR	501	12	4.01	5.72	NA	MAIN;DEADT;		1995-01-27
141	141	CORSUL	501	12	3.36	8.25	130	MAIN;A;		1995-01-27
142	142	MANBID	501	13	0.54	13.49	404	MAIN;A;NP;	1.9	1995-01-27
143	143	TETBAL	501	14	0.59	17.52	253	MAIN;A;		1995-01-27
144	144	TETBAL	501	23	5.12	14.04	218	MAIN;A;		1995-02-01
145	145	DACEXC	501	23	5.57	11.77	625	MAIN;A;		1995-02-01
146	146	MANBID	501	24	8.76	17.45	173	MAIN;A;		1995-02-01
147	147	TETBAL	501	23	7.66	14.27	139	MAIN;A;		1995-02-01
148	148	MANBID	501	23	9.31	10.2	262	MAIN;A;		1995-02-01
149	149	DACEXC	501	22	6.69	7.28	452	MAIN;A;		1995-02-01
150	150	INGLAU	501	21	5.02	3.7	141	MAIN;A;		1995-02-01
151	151	SLOBER	501	31	12.67	3.32	221	MAIN;A;		1995-02-02
152	152	PREMON	501	34	12.65	15.12	161	MAIN;A;		1995-02-02
153	153	DACEXC	501	43	18.83	11.79	488	MAIN;A;		1995-02-02
154	154	TETBAL	501	43	18.78	12.19	202	MAIN;A;		1995-02-02
155	155	ALCLAT	501	43	17.39	14.71	284	MAIN;A;		1995-02-02
156	156	CASARB	501	44	17.08	15.24	NA	MAIN;DEADT;		1995-02-02
157	157	MANBID	501	43	15.74	12.8	124	MAIN;A;		1995-02-02
158	158	SLOBER	501	43	15.22	13.53	NA	MAIN;DEADT;		1995-02-02
159	159	DACEXC	501	42	16.98	9.75	290	MAIN;A;		1995-02-02
160	160	BUCTET	501	42	18.64	8.28	235	MAIN;A;		1995-02-02
160	15571	BUCTET	501	42	18.64	8.28	28.4	SPROUT;A;		1995-02-02
160	40297	BUCTET	501	42	18.64	8.28	20.8	SPROUT;A;		1995-02-02
161	161	DACEXC	501	42	19.72	8.67	212	MAIN;A;		1995-02-02
162	162	DACEXC	601	11	4.39	1.15	268	MAIN;A;		1995-02-06
163	163	DACEXC	601	12	2.66	7.49	409	MAIN;A;		1995-02-06
164	164	DACEXC	601	12	0.45	8.59	341	MAIN;A;		1995-02-06
165	165	MANBID	601	13	2.27	12.29	166	MAIN;A;		1995-02-06
166	166	PREMON	601	14	2.01	17.64	165	MAIN;A;		1995-02-06
167	167	GUEVAL	601	24	6.39	15.4	127	MAIN;A;		1995-02-06
168	168	SAPLAU	601	24	6.19	16.52	273	MAIN;A;		1995-02-06
169	169	MANBID	601	23	6.78	13.14	280	MAIN;A;		1995-02-06
170	170	PREMON	601	23	9.87	13.53	133	MAIN;A;		1995-02-06
171	171	PREMON	601	23	7.99	11.18	137	MAIN;A;		1995-02-06
172	172	PREMON	601	22	6.8	7.55	140	MAIN;A;		1995-02-06
173	173	SAPLAU	601	21	8.49	3.66	190	MAIN;A;		1995-02-06
173	16223	SAPLAU	601	21	8.49	3.66	29	SPROUT;A;		1995-02-06
174	174	MANBID	601	21	8.83	2.73	176	MAIN;A;		1995-02-06
175	175	MANBID	601	21	6.78	1.06	465	MAIN;A;		1995-02-06
176	176	DACEXC	601	31	12.54	0.37	406	MAIN;A;		1995-02-06
177	177	PREMON	601	31	13.14	2.9	132	MAIN;A;		1995-02-06
178	178	CROPOE	601	32	12.58	6.57	124	MAIN;A;		1995-02-06
179	179	SLOBER	601	32	11.43	7.21	153	MAIN;A;		1995-02-06
180	180	PREMON	601	32	10.79	9.61	179	MAIN;A;		1995-02-06
181	181	DENARB	601	33	12.67	12.39	267	MAIN;A;	1.3	1995-02-06
182	182	PREMON	601	33	13.51	11.73	143	MAIN;A;		1995-02-06
183	183	PREMON	601	33	14.34	11.44	153	MAIN;A;		1995-02-06
184	184	PREMON	601	34	13.48	17	159	MAIN;A;		1995-02-06
185	185	CROPOE	601	34	13.98	18.03	197	MAIN;A;		1995-02-06
186	186	CROPOE	601	34	13.48	19.46	211	MAIN;A;		1995-02-06
187	187	CHOVEN	601	34	12.36	19	200	MAIN;A;		1995-02-06
188	188	CROPOE	601	24	8.3	16.59	132	MAIN;A;	1.3	1995-02-06
189	189	PREMON	601	44	16.97	18.76	124	MAIN;A;		1995-02-06
190	190	PREMON	601	44	15.79	16.98	136	MAIN;A;		1995-02-06
191	191	PREMON	601	44	15.7	15.62	177	MAIN;A;		1995-02-06
192	192	SLOBER	601	43	18.68	13.66	156	MAIN;A;		1995-02-06
193	193	SLOBER	601	43	17.47	13.02	129	MAIN;A;		1995-02-06
193	7401	SLOBER	601	43	17.47	13.02	13	SPROUT;A;		1995-02-06
194	194	SAPLAU	601	43	19.19	10.24	379	MAIN;A;		1995-02-06
195	195	SLOBER	601	42	19.68	9.3	120	MAIN;A;		1995-02-06
196	196	PREMON	601	43	19.29	10.6	175	MAIN;A;		1995-02-06
197	197	PREMON	601	42	15.25	8.03	175	MAIN;A;		1995-02-06
198	198	DACEXC	601	41	15.17	2.96	357	MAIN;A;		1995-02-06
199	199	DACEXC	601	41	15.34	1.81	301	MAIN;A;		1995-02-06
200	200	PREMON	601	41	15.79	3.35	144	MAIN;A;		1995-02-06
201	201	SLOBER	601	41	18.01	1.24	103	MAIN;A;		1995-02-06
202	202	DRYGLA	701	11	0.13	0.26	129	MAIN;A;	1.7	1995-02-08
202	7452	DRYGLA	701	11	0.13	0.26	66	SPROUT;A;		1995-02-08
203	203	ALCFLO	701	11	2.94	2.43	266	MAIN;A;		1995-02-08
204	204	PREMON	701	11	3.09	2.69	123	MAIN;A;		1995-02-08
205	205	CHIDOM	701	11	2.67	3.78	NA	MAIN;DEADT;		1995-02-08
206	206	GUEVAL	701	11	3.26	3.87	NA	MAIN;DEADT;		1995-02-08
207	207	GUEVAL	701	11	3.44	4.33	NA	MAIN;DEADT;		1995-02-08
208	208	GUAGLA	701	12	3.74	7.28	111	MAIN;A;		1995-02-08
208	40436	GUAGLA	701	12	3.74	7.28	15	SPROUT;A;		1995-02-08
208	40437	GUAGLA	701	12	3.74	7.28	14	SPROUT;A;		1995-02-08
209	209	SLOBER	701	13	2.85	11.28	170	MAIN;A;		1995-02-08
210	210	SLOBER	701	13	2.95	12.68	172	MAIN;A;		1995-02-08
211	211	PREMON	701	13	3.05	13.05	174	MAIN;A;		1995-02-08
212	212	CROPOE	701	14	1.41	17.5	NA	MAIN;DEADT;		1995-02-08
212	7403	CROPOE	701	14	1.41	17.5	NA	SPROUT;LS;		1995-02-08
212	7406	CROPOE	701	14	1.41	17.5	NA	SPROUT;LS;		1995-02-08
212	7423	CROPOE	701	14	1.41	17.5	NA	SPROUT;LS;		1995-02-08
213	213	PREMON	701	14	2.6	16.53	172	MAIN;A;		1995-02-08
214	214	PREMON	701	24	9.01	16.8	141	MAIN;A;		1995-02-08
215	215	SAPLAU	701	22	5.26	8.38	244	MAIN;A;		1995-02-08
216	216	ALCFLO	701	22	5.71	5.5	240	MAIN;A;		1995-02-08
217	217	PREMON	701	21	6.61	4.07	175	MAIN;A;		1995-02-08
219	219	PREMON	701	33	10.98	12.32	189	MAIN;A;		1995-02-09
220	220	DACEXC	701	44	16.97	16.48	NA	MAIN;DEADT;		1995-02-09
221	221	CASARB	701	43	16	10.42	197	MAIN;A;		1995-02-09
222	222	SLOBER	701	42	17.93	8.38	NA	MAIN;DEADT;		1995-02-09
223	223	DENARB	801	11	2.56	2.41	139	MAIN;A;		1995-02-13
224	224	PREMON	801	12	3.66	5.79	207	MAIN;A;		1995-02-13
225	225	DACEXC	801	12	4.46	8.42	265	MAIN;A;		1995-02-13
226	226	CROPOE	801	12	0.97	8.96	144	MAIN;A;		1995-02-13
227	227	SLOBER	801	12	1.63	9.74	110	MAIN;A;		1995-02-13
228	228	DACEXC	801	12	0.97	7.98	698	MAIN;A;		1995-02-13
229	229	OCOSIN	801	11	1.41	1.22	225	MAIN;A;NP;	2.5	1995-02-13
229	13304	OCOSIN	801	11	1.41	1.22	22.5	SPROUT;A;		1995-02-13
229	13306	OCOSIN	801	11	1.41	1.22	NA	SPROUT;LS;		1995-02-13
229	13333	OCOSIN	801	11	1.41	1.22	NA	SPROUT;LS;		1995-02-13
229	13337	OCOSIN	801	11	1.41	1.22	20	SPROUT;A;		1995-02-13
229	13393	OCOSIN	801	11	1.41	1.22	37	SPROUT;A;		1995-02-13
229	13394	OCOSIN	801	11	1.41	1.22	34.5	SPROUT;A;		1995-02-13
229	13398	OCOSIN	801	11	1.41	1.22	NA	SPROUT;LS;		1995-02-13
229	13399	OCOSIN	801	11	1.41	1.22	17	SPROUT;A;		1995-02-13
230	230	CECSCH	1102	42	17.78	7.27	153	MAIN;A;		1995-02-24
231	231	SLOBER	801	12	3.99	7.93	113	MAIN;A;		1995-02-13
232	232	GUEVAL	801	13	3.01	12.66	122	MAIN;A;		1995-02-13
233	233	PREMON	801	13	3.7	13	196	MAIN;A;		1995-02-13
234	234	SAPLAU	801	14	4.86	15.15	NA	MAIN;DEADT;		1995-02-13
235	235	MANBID	801	14	1.24	15.21	NA	MAIN;DEADT;		1995-02-13
236	236	CROPOE	801	14	1.24	17.46	NA	MAIN;DEADT;		1995-02-13
237	237	MANBID	801	24	5.17	17.85	153	MAIN;A;		1995-02-13
238	238	SLOBER	801	24	9.87	17.99	146	MAIN;A;		1995-02-13
238	2434	SLOBER	801	24	9.87	17.99	28	SPROUT;A;		1995-02-13
238	2440	SLOBER	801	24	9.87	17.99	28.5	SPROUT;A;		1995-02-13
238	2451	SLOBER	801	24	9.87	17.99	NA	SPROUT;LS;		1995-02-13
238	2454	SLOBER	801	24	9.87	17.99	29	SPROUT;A;		1995-02-13
238	4291	SLOBER	802	21	9.87	17.99	30.9	SPROUT;A;	1.3	1995-02-13
239	239	BUCTET	801	23	9.77	14.79	173	MAIN;A;	1.3	1995-02-13
239	2428	BUCTET	801	24	6.62	15.86	41.1	SPROUT;A;		1995-02-13
239	2429	BUCTET	801	24	9.77	14.79	18.4	SPROUT;A;		1995-02-13
239	2453	BUCTET	801	24	9.77	14.79	NA	SPROUT;LS;		1995-02-13
240	240	CORSUL	801	23	9.58	13.99	128	MAIN;A;		1995-02-13
241	241	MANBID	801	23	5.61	11.43	198	MAIN;A;		1995-02-13
241	4019	MANBID	801	23	5.61	11.43	14	SPROUT;A;		1995-02-13
241	7145	MANBID	801	41	5.61	11.43	NA	SPROUT;LS;		1995-02-15
241	7146	MANBID	801	41	5.61	11.43	NA	SPROUT;LS;		1995-02-15
241	7147	MANBID	801	41	5.61	11.43	NA	SPROUT;LS;		1995-02-15
241	7164	MANBID	801	41	5.61	11.43	NA	SPROUT;LS;		1995-02-15
241	11704	MANBID	801	32	5.61	11.43	14	SPROUT;A;		1995-02-13
241	11781	MANBID	801	32	10.74	7.54	14	SPROUT;A;		1995-02-13
241	18585	MANBID	801	32	5.61	11.43	13	SPROUT;A;		1995-02-13
241	18590	MANBID	801	32	5.61	11.43	19	SPROUT;A;		1995-02-13
242	242	MANBID	801	23	6.65	10.58	151	MAIN;A;		1995-02-13
243	243	DACEXC	801	22	9.84	6.2	202	MAIN;A;		1995-02-13
244	244	PREMON	801	22	9.85	8.37	150	MAIN;A;		1995-02-13
245	245	PREMON	801	21	8.97	4.46	183	MAIN;A;		1995-02-13
246	246	PREMON	801	21	9.07	0.71	146	MAIN;A;		1995-02-13
247	247	SLOBER	801	31	14.17	1.19	149	MAIN;A;		1995-02-13
